symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
TRUMP_USDT,15m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,849,464,385,54.65,0.09,-99.44,-99.44,99.45,-0.1171,47.65,0.56
TRUMP_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,210,192,18,91.43,0.76,-6.67,-6.67,10.01,-0.0317,4.01,93.33
TRUMP_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,209,189,20,90.43,0.62,-12.25,-12.25,13.25,-0.0586,3.94,87.75
TRUMP_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,208,181,27,87.02,0.36,-28.58,-28.58,29.39,-0.1374,3.48,71.42
TRUMP_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,208,177,31,85.1,0.31,-34.63,-34.63,35.38,-0.1665,3.36,65.37
TRUMP_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,206,173,33,83.98,0.27,-39.21,-39.21,39.9,-0.1903,3.29,60.79
TRUMP_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,206,170,36,82.52,0.23,-44.49,-44.49,45.12,-0.216,3.11,55.51
TRUMP_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,208,165,43,79.33,0.19,-52.77,-52.77,53.31,-0.2537,2.98,47.23
TRUMP_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,209,183,26,87.56,0.35,-28.85,-28.85,29.61,-0.138,17.23,71.15
TRUMP_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,208,180,28,86.54,0.33,-31.59,-31.59,32.33,-0.1519,16.89,68.41
TRUMP_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,208,176,32,84.62,0.27,-38.14,-38.14,38.81,-0.1834,16.02,61.86
TRUMP_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,206,171,35,83.01,0.23,-43.89,-43.89,44.49,-0.213,15.55,56.11
TRUMP_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,206,167,39,81.07,0.2,-48.6,-48.6,49.15,-0.2359,14.99,51.4
TRUMP_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,205,158,47,77.07,0.15,-60.57,-60.57,60.74,-0.2954,14.12,39.43
TRUMP_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,206,156,50,75.73,0.13,-64.81,-64.81,64.96,-0.3146,13.61,35.19
TRUMP_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,208,176,32,84.62,0.26,-38.74,-38.74,39.35,-0.1863,31.34,61.26
TRUMP_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,206,173,33,83.98,0.24,-42.16,-42.16,42.73,-0.2047,30.56,57.84
TRUMP_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,206,166,40,80.58,0.18,-53.13,-53.13,53.39,-0.2579,29.19,46.87
TRUMP_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,205,157,48,76.59,0.15,-61.19,-61.19,61.34,-0.2985,27.9,38.81
TRUMP_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,204,155,49,75.98,0.14,-63.72,-63.72,63.86,-0.3124,27.15,36.28
TRUMP_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,203,151,52,74.38,0.12,-67.92,-67.92,68.04,-0.3346,26.12,32.08
TRUMP_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,202,145,57,71.78,0.1,-74.06,-74.06,74.16,-0.3666,24.12,25.94
TRUMP_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,45,44,1,97.78,2.24,2.87,2.87,2.3,0.0637,0.9,102.87
TRUMP_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,45,44,1,97.78,2.22,2.84,2.84,2.33,0.0631,0.9,102.84
TRUMP_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,44,43,1,97.73,2.11,2.62,2.62,2.36,0.0595,0.88,102.62
TRUMP_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,44,42,2,95.45,1.71,2.03,2.03,2.7,0.0462,0.87,102.03
TRUMP_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,44,42,2,95.45,1.68,1.98,1.98,2.75,0.045,0.87,101.98
TRUMP_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,44,42,2,95.45,1.65,1.93,1.93,2.79,0.0439,0.87,101.93
TRUMP_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,44,42,2,95.45,1.62,1.88,1.88,2.84,0.0428,0.87,101.88
TRUMP_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,45,44,1,97.78,2.03,2.47,2.47,2.38,0.0548,4.49,102.47
TRUMP_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,44,43,1,97.73,1.94,2.26,2.26,2.41,0.0514,4.39,102.26
TRUMP_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,44,43,1,97.73,1.91,2.23,2.23,2.43,0.0507,4.39,102.23
TRUMP_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,44,42,2,95.45,1.51,1.56,1.56,2.83,0.0355,4.36,101.56
TRUMP_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,44,42,2,95.45,1.49,1.51,1.51,2.88,0.0344,4.36,101.51
TRUMP_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,44,42,2,95.45,1.47,1.46,1.46,2.93,0.0332,4.36,101.46
TRUMP_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,44,41,3,93.18,0.72,-1.72,-1.72,2.98,-0.039,4.35,98.28
TRUMP_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,44,43,1,97.73,1.89,2.21,2.21,2.48,0.0503,8.77,102.21
TRUMP_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,44,43,1,97.73,1.87,2.18,2.18,2.5,0.0496,8.77,102.18
TRUMP_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,44,43,1,97.73,1.85,2.15,2.15,2.53,0.0489,8.77,102.15
TRUMP_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,44,42,2,95.45,1.43,1.38,1.38,3.04,0.0313,8.71,101.38
TRUMP_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,44,42,2,95.45,1.41,1.33,1.33,3.09,0.0302,8.7,101.33
TRUMP_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,44,41,3,93.18,0.71,-1.83,-1.83,3.13,-0.0417,8.68,98.17
TRUMP_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,44,41,3,93.18,0.69,-1.96,-1.96,3.18,-0.0445,8.68,98.04
TRUMP_USDT,1d,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,6,6,0,100.0,999.0,0.72,0.72,0.0,0.1207,0.12,100.72
TRUMP_USDT,1d,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,6,6,0,100.0,999.0,0.72,0.72,0.0,0.1206,0.12,100.72
TRUMP_USDT,1d,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,6,6,0,100.0,999.0,0.72,0.72,0.0,0.1206,0.12,100.72
TRUMP_USDT,1d,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,6,6,0,100.0,999.0,0.72,0.72,0.0,0.1206,0.12,100.72
TRUMP_USDT,1d,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,6,6,0,100.0,999.0,0.72,0.72,0.0,0.1206,0.12,100.72
TRUMP_USDT,1d,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,6,6,0,100.0,999.0,0.72,0.72,0.0,0.1206,0.12,100.72
TRUMP_USDT,1d,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,6,6,0,100.0,999.0,0.72,0.72,0.0,0.1207,0.12,100.72
TRUMP_USDT,1d,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,6,6,0,100.0,999.0,0.68,0.68,0.0,0.1133,0.6,100.68
TRUMP_USDT,1d,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,6,6,0,100.0,999.0,0.68,0.68,0.0,0.1132,0.6,100.68
TRUMP_USDT,1d,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,6,6,0,100.0,999.0,0.68,0.68,0.0,0.1132,0.6,100.68
TRUMP_USDT,1d,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,6,6,0,100.0,999.0,0.68,0.68,0.0,0.1132,0.6,100.68
TRUMP_USDT,1d,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,6,6,0,100.0,999.0,0.68,0.68,0.0,0.1132,0.6,100.68
TRUMP_USDT,1d,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,6,6,0,100.0,999.0,0.68,0.68,0.0,0.1132,0.6,100.68
TRUMP_USDT,1d,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,6,6,0,100.0,999.0,0.68,0.68,0.0,0.1132,0.6,100.68
TRUMP_USDT,1d,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,6,6,0,100.0,999.0,0.76,0.76,0.0,0.1271,1.2,100.76
TRUMP_USDT,1d,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,6,6,0,100.0,999.0,0.76,0.76,0.0,0.1272,1.2,100.76
TRUMP_USDT,1d,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,6,6,0,100.0,999.0,0.76,0.76,0.0,0.1271,1.2,100.76
TRUMP_USDT,1d,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,6,6,0,100.0,999.0,0.76,0.76,0.0,0.1271,1.2,100.76
TRUMP_USDT,1d,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,6,6,0,100.0,999.0,0.76,0.76,0.0,0.1271,1.2,100.76
TRUMP_USDT,1d,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,6,6,0,100.0,999.0,0.76,0.76,0.0,0.127,1.2,100.76
TRUMP_USDT,1d,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,6,6,0,100.0,999.0,0.76,0.76,0.0,0.1271,1.2,100.76
XAG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,11499,7372,4127,64.11,0.32,-99.21,-99.21,99.21,-0.0086,45.58,0.79
XAG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,11628,6617,5011,56.91,0.24,-100.64,-100.64,100.64,-0.0087,34.02,-0.64
XAG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,12002,5878,6124,48.98,0.18,-102.71,-102.71,102.71,-0.0086,26.16,-2.71
XAG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,12379,5217,7162,42.14,0.13,-104.96,-104.96,104.95,-0.0085,21.33,-4.96
XAG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,12662,4616,8046,36.46,0.11,-107.2,-107.2,107.18,-0.0085,18.39,-7.2
XAG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,12760,4159,8601,32.59,0.09,-109.19,-109.19,109.16,-0.0086,16.09,-9.19
XAG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,12841,3718,9123,28.95,0.07,-111.27,-111.27,111.26,-0.0087,14.28,-11.27
XAG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,9844,5076,4768,51.56,0.12,-104.37,-104.37,104.36,-0.0106,84.19,-4.37
XAG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,10117,4701,5416,46.47,0.1,-106.0,-106.0,105.98,-0.0105,74.59,-6.0
XAG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,10643,4266,6377,40.08,0.08,-108.34,-108.34,108.32,-0.0102,67.38,-8.34
XAG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,11238,3879,7359,34.52,0.07,-110.93,-110.93,110.9,-0.0099,62.13,-10.93
XAG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,11627,3521,8106,30.28,0.06,-113.39,-113.39,113.37,-0.0098,58.15,-13.39
XAG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,11917,3224,8693,27.05,0.05,-115.64,-115.64,115.61,-0.0097,53.11,-15.64
XAG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,12075,2909,9166,24.09,0.04,-117.84,-117.84,117.81,-0.0098,49.05,-17.84
XAG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,8509,3563,4946,41.87,0.06,-109.57,-109.57,109.55,-0.0129,96.51,-9.57
XAG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,8863,3333,5530,37.61,0.05,-111.59,-111.59,111.57,-0.0126,91.11,-11.59
XAG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,9395,3120,6275,33.21,0.04,-114.01,-114.01,113.99,-0.0121,86.25,-14.01
XAG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,10189,2892,7297,28.38,0.04,-117.17,-117.17,117.15,-0.0115,82.64,-17.17
XAG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,10763,2688,8075,24.97,0.03,-120.06,-120.06,120.03,-0.0112,80.25,-20.06
XAG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,11108,2486,8622,22.38,0.03,-122.57,-122.57,122.54,-0.011,76.55,-22.57
XAG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,11242,2262,8980,20.12,0.02,-124.68,-124.68,124.65,-0.0111,72.15,-24.68
XAG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,2393,1837,556,76.77,0.39,-62.51,-62.51,62.85,-0.0261,30.47,37.49
XAG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,2440,1751,689,71.76,0.3,-75.39,-75.39,75.61,-0.0309,26.71,24.61
XAG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,2493,1640,853,65.78,0.23,-85.56,-85.56,85.63,-0.0343,22.91,14.44
XAG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,2506,1523,983,60.77,0.18,-91.52,-91.52,91.54,-0.0365,19.69,8.48
XAG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,2532,1453,1079,57.39,0.15,-94.65,-94.65,94.66,-0.0374,17.69,5.35
XAG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,2574,1373,1201,53.34,0.13,-97.07,-97.07,97.07,-0.0377,16.07,2.93
XAG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,2600,1300,1300,50.0,0.11,-98.38,-98.38,98.38,-0.0378,14.01,1.62
XAG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,2198,1489,709,67.74,0.17,-92.01,-92.01,92.03,-0.0419,82.21,7.99
XAG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,2234,1431,803,64.06,0.15,-94.78,-94.78,94.79,-0.0424,75.42,5.22
XAG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,2302,1370,932,59.51,0.12,-97.04,-97.04,97.04,-0.0422,68.06,2.96
XAG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,2344,1298,1046,55.38,0.11,-98.29,-98.29,98.29,-0.0419,61.8,1.71
XAG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,2388,1228,1160,51.42,0.09,-99.04,-99.04,99.05,-0.0415,56.73,0.96
XAG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,2459,1165,1294,47.38,0.08,-99.57,-99.57,99.57,-0.0405,51.25,0.43
XAG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,2474,1097,1377,44.34,0.08,-99.91,-99.91,99.91,-0.0404,48.17,0.09
XAG_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,1994,1188,806,59.58,0.09,-98.47,-98.47,98.48,-0.0494,98.41,1.53
XAG_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,2036,1154,882,56.68,0.08,-99.04,-99.04,99.04,-0.0486,94.41,0.96
XAG_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,2104,1104,1000,52.47,0.07,-99.53,-99.53,99.53,-0.0473,86.8,0.47
XAG_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,2193,1057,1136,48.2,0.07,-99.91,-99.91,99.91,-0.0456,81.26,0.09
XAG_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,2233,1018,1215,45.59,0.06,-100.28,-100.28,100.28,-0.0449,76.54,-0.28
XAG_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,2312,982,1330,42.47,0.05,-100.69,-100.69,100.69,-0.0436,72.45,-0.69
XAG_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,2320,932,1388,40.17,0.05,-101.05,-101.05,101.05,-0.0436,69.11,-1.05
XAG_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,821,669,152,81.49,0.36,-33.2,-33.2,33.94,-0.0404,13.25,66.8
XAG_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,815,645,170,79.14,0.3,-40.22,-40.22,40.71,-0.0493,12.48,59.78
XAG_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,807,623,184,77.2,0.25,-47.51,-47.51,47.68,-0.0589,11.83,52.49
XAG_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,810,602,208,74.32,0.22,-52.63,-52.63,52.79,-0.065,11.47,47.37
XAG_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,809,574,235,70.95,0.17,-61.38,-61.38,61.48,-0.0759,10.67,38.62
XAG_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,819,557,262,68.01,0.15,-67.54,-67.54,67.63,-0.0825,10.15,32.46
XAG_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,813,534,279,65.68,0.13,-71.7,-71.7,71.77,-0.0882,9.59,28.3
XAG_USDT,15m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,773,577,196,74.64,0.15,-63.88,-63.88,63.97,-0.0826,46.93,36.12
XAG_USDT,15m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,771,560,211,72.63,0.13,-69.06,-69.06,69.14,-0.0896,43.76,30.94
XAG_USDT,15m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,759,535,224,70.49,0.12,-72.31,-72.31,72.35,-0.0953,41.4,27.69
XAG_USDT,15m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,772,522,250,67.62,0.11,-76.07,-76.07,76.11,-0.0985,40.31,23.93
XAG_USDT,15m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,778,506,272,65.04,0.1,-79.44,-79.44,79.47,-0.1021,38.54,20.56
XAG_USDT,15m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,783,486,297,62.07,0.08,-82.49,-82.49,82.52,-0.1053,36.74,17.51
XAG_USDT,15m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,785,469,316,59.75,0.08,-85.14,-85.14,85.17,-0.1085,35.46,14.86
XAG_USDT,15m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,720,494,226,68.61,0.09,-79.4,-79.4,79.44,-0.1103,69.77,20.6
XAG_USDT,15m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,718,476,242,66.3,0.08,-82.26,-82.26,82.3,-0.1146,66.57,17.74
XAG_USDT,15m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,719,467,252,64.95,0.08,-84.02,-84.02,84.05,-0.1169,64.22,15.98
XAG_USDT,15m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,717,458,259,63.88,0.07,-85.95,-85.95,85.98,-0.1199,61.54,14.05
XAG_USDT,15m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,720,446,274,61.94,0.07,-87.56,-87.56,87.58,-0.1216,60.22,12.44
XAG_USDT,15m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,723,432,291,59.75,0.06,-89.57,-89.57,89.59,-0.1239,58.37,10.43
XAG_USDT,15m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,723,417,306,57.68,0.06,-91.0,-91.0,91.01,-0.1259,56.59,9.0
XAG_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,203,183,20,90.15,0.39,-9.81,-9.81,10.19,-0.0483,3.89,90.19
XAG_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,202,176,26,87.13,0.31,-12.75,-12.75,13.01,-0.0631,3.83,87.25
XAG_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,201,171,30,85.07,0.27,-14.87,-14.87,15.01,-0.074,3.77,85.13
XAG_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,201,167,34,83.08,0.23,-18.47,-18.47,18.61,-0.0919,3.71,81.53
XAG_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,201,163,38,81.09,0.2,-20.7,-20.7,20.83,-0.103,3.66,79.3
XAG_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,201,163,38,81.09,0.2,-21.13,-21.13,21.26,-0.1051,3.65,78.87
XAG_USDT,1h,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,201,155,46,77.11,0.16,-25.74,-25.74,25.86,-0.1281,3.55,74.26
XAG_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,200,169,31,84.5,0.19,-21.43,-21.43,21.56,-0.1072,18.07,78.57
XAG_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,199,164,35,82.41,0.18,-23.07,-23.07,23.19,-0.1159,17.86,76.93
XAG_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,199,160,39,80.4,0.16,-25.9,-25.9,26.02,-0.1301,17.73,74.1
XAG_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,200,159,41,79.5,0.14,-28.46,-28.46,28.58,-0.1423,17.56,71.54
XAG_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,201,154,47,76.62,0.13,-30.55,-30.55,30.67,-0.152,17.4,69.45
XAG_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,201,152,49,75.62,0.12,-32.25,-32.25,32.36,-0.1604,17.25,67.75
XAG_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,201,151,50,75.12,0.12,-33.0,-33.0,33.11,-0.1642,17.15,67.0
XAG_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,198,158,40,79.8,0.13,-30.22,-30.22,30.34,-0.1526,34.28,69.78
XAG_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,197,155,42,78.68,0.12,-33.05,-33.05,33.17,-0.1678,33.25,66.95
XAG_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,196,152,44,77.55,0.11,-34.18,-34.18,34.3,-0.1744,32.81,65.82
XAG_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,196,151,45,77.04,0.1,-36.44,-36.44,36.55,-0.1859,32.67,63.56
XAG_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,197,147,50,74.62,0.1,-38.42,-38.42,38.53,-0.195,32.39,61.58
XAG_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,197,146,51,74.11,0.09,-39.81,-39.81,39.92,-0.2021,32.09,60.19
XAG_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,197,144,53,73.1,0.07,-46.14,-46.14,46.23,-0.2342,29.24,53.86
XAG_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,53,51,2,96.23,0.5,-1.79,-1.79,3.17,-0.0337,1.04,98.21
XAG_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,53,50,3,94.34,0.39,-2.8,-2.8,4.18,-0.0529,1.04,97.2
XAG_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,53,50,3,94.34,0.38,-2.84,-2.84,4.21,-0.0537,1.04,97.16
XAG_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,52,49,3,94.23,0.37,-2.91,-2.91,4.25,-0.056,1.02,97.09
XAG_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,52,49,3,94.23,0.37,-2.95,-2.95,4.29,-0.0568,1.02,97.05
XAG_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,52,49,3,94.23,0.37,-2.99,-2.99,4.33,-0.0575,1.02,97.01
XAG_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,52,49,3,94.23,0.36,-3.03,-3.03,4.37,-0.0583,1.02,96.97
XAG_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,52,49,3,94.23,0.34,-3.15,-3.15,4.37,-0.0607,5.08,96.85
XAG_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,52,48,4,92.31,0.19,-6.36,-6.36,7.54,-0.1223,4.96,93.64
XAG_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,52,48,4,92.31,0.19,-6.41,-6.41,7.59,-0.1233,4.95,93.59
XAG_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,52,48,4,92.31,0.19,-6.46,-6.46,7.64,-0.1243,4.95,93.54
XAG_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,52,48,4,92.31,0.19,-6.51,-6.51,7.69,-0.1252,4.95,93.49
XAG_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,52,48,4,92.31,0.19,-6.56,-6.56,7.74,-0.1262,4.95,93.44
XAG_USDT,4h,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,52,48,4,92.31,0.19,-6.61,-6.61,7.79,-0.1272,4.95,93.39
XAG_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,52,48,4,92.31,0.19,-6.65,-6.65,7.87,-0.1279,9.89,93.35
XAG_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,52,47,5,90.38,0.17,-7.58,-7.58,8.03,-0.1457,9.88,92.42
XAG_USDT,4h,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,52,47,5,90.38,0.17,-7.64,-7.64,8.09,-0.147,9.88,92.36
